cuvette,treat,bottle #,S0,S1,S2,S3,S4
i2,blank,,-1.6715,-1.0135,-1.7415,-2.3925,-1.4795
,add1,19,21.225,18.865,13.11,12.16,25.19
,add2,23,16.715,20.51,30.92,12.02,37.28
,add3,18,29.28,23.38,11.605,18.42,38.55
,add4,25,10.83,20.66,17.725,12.19,39.195
,add5,9,14.18,22.28,22.54,21.315,31.065
,add6,14,10.33,13.585,24.85,22.19,29.675
,add7,7,19.335,25.15,18.965,14.035,11.08
,add8,22,20.99,29.735,32.93,15.955,15.51
,add9,10,21.58,23.895,23.8,15.16,28.045
I5,blank,,-2.434,-3.848,-0.937,-2.744,-2.689
,Di1,4,6.439,23.51,44.655,9.6645,8.1435
,Di2,5,7.5665,13.01,11.8335,4.2395,2.694
,Di3,21,11.065,19.325,15.385,8.883,10.5595
,Di4,20,15.385,22.45,17.01,19.12,21.405
,Di5,11,16.895,18.125,9.5585,27.085,16.52
,Di6,24,16.79,21.345,14.325,10.6265,17.17
,Di7,17,16.465,24.35,10.285,16.695,26.335
,Di8,2,14.195,13.63,6.743,12.09,23.34
,Di9,8,15.74,18.785,8.967,8.0385,26.675
i9,blank,,-2.254,-2.1825,-1.682,-2.5545,-2.276
,con1,6,22.83,21.755,10.76,9.684,7.804
,con2,16,30.44,16.16,10.008,12.105,12.77
,con3,27,30.44,18.185,10.0315,9.487,9.2955
,con4,1,17.095,17.415,8.673,7.243,8.5435
,con5,26,17.56,16.47,8.232,7.493,11.82
,con6,13,22.88,13.555,9.934,6.792,11.74
,con7,12,12.27,10.542,7.221,7.065,9.4105
,con8,3,10.9,12.545,8.8725,7.869,10.3855
,con9,15,12.38,10.03,7.3285,5.6115,8.766
