cuvette,treat,bottle #,S0,S1,S2,S3,S4
i2,blank,,0.002,0.0005,0.3985,0.154,0.464
,add1,19,0.3975,0.3805,190.05,191.25,194.45
,add2,23,0.393,0.3725,161.75,196.45,193.05
,add3,18,0.394,0.3725,190.1,192.55,191.55
,add4,25,0.315,0.294,191.25,152.55,171.1
,add5,9,0.307,0.304,159,148.6,149.2
,add6,14,0.31,0.2895,158.95,149.5,148.5
,add7,7,0.399,0.37,204.4,187.25,178.6
,add8,22,0.3995,0.381,211.65,193.6,185.45
,add9,10,0.3975,0.3725,209,191.95,190
I5,blank,,0.001,0.001,5.583,0.364,0.6375
,Di1,4,0.219,0.2225,112.2,109,103.6
,Di2,5,0.2215,0.215,109.2,107.7,102.45
,Di3,21,0.2235,0.2125,107.55,107.9,103.15
,Di4,20,0.303,0.2885,147.45,143.4,144.8
,Di5,11,0.2855,0.278,143.2,145.35,141.1
,Di6,24,0.294,0.284,143.1,136.25,133.1
,Di7,17,0.29,0.2815,143.45,138.65,139.3
,Di8,2,0.2925,0.283,138.6,140.6,138.8
,Di9,8,0.291,0.2805,137.85,136.5,146.05
i9,blank,,0.002,0.001,1.2845,0.6495,0.875
,con1,6,0.3905,0.38,188.35,185.3,176.85
,con2,16,0.4065,0.3855,192.05,188.1,185.05
,con3,27,0.4045,0.3845,192.35,196.8,196.05
,con4,1,0.388,0.368,187.35,179.85,175.9
,con5,26,0.3865,0.37,184.55,179.55,175.75
,con6,13,0.403,0.3685,185.3,179.6,182.85
,con7,12,0.301,0.294,145.7,139.45,134.1
,con8,3,0.308,0.2915,146.05,138.2,135.95
,con9,15,0.326,0.29,147.45,137.85,134.2
