cuvette,treat,Replicate,Origin,bottle #,S0,S1,S2,S3,S4
i2,wcc,,,blank,-0.9025,-1.089,-1.8435,-0.4185,-1.7755
,Add,1,C,26,18.545,7.9705,8.7995,9.9735,10.78
,Add,2,D,5,35.935,24.46,20.205,20.94,18.195
,Add,3,E,3,28.405,17.37,20.875,17.57,29.5
,Add,4,D,6,33.72,22.8,20.835,15.965,16.205
,Add,5,E,17,23.675,15.58,15.345,17.84,15.39
,Add,6,C,16,20.3,10.723,8.293,11.315,10.945
,Add,7,E,14,28.9,12.93,13.125,21.2,26.785
,Add,8,C,18,19.225,9.197,23.71,10.3865,15.005
,Add,9,D,7,45.315,19.055,23.3,19.5,12.74
i5,wcc,,,,-0.075,-1.8265,-0.4025,-1.1245,-0.3145
,Di,1,C,9,18.05,6.9705,11.635,27.855,49.595
,Di,2,D,13,32.975,23.66,29.605,25.63,40.79
,Di,3,E,21,23.865,13.15,22.86,24.515,29.94
,Di,4,D,1,36.145,12.585,21.955,32.35,49.385
,Di,5,E,10,23.985,14.46,15.525,27.52,33.81
,Di,6,C,8,15.88,9.1415,9.3925,33.185,37.45
,Di,7,E,2,23.11,21.015,17.06,38.925,33.39
,Di,8,C,20,14.9,8.9525,11.595,20.095,43.885
,Di,9,D,22,33.09,19.83,24.59,30.365,36.65
I9,wcc,,,blank,-2.3135,-1.732,-2.3535,-1.781,-0.3465
,Con,1,C,24,14.275,7.2685,4.9345,5.5395,9.316
,Con,2,D,11,39.465,18.785,12.68,12.23,12.43
,Con,3,E,25,20.595,10.625,8.367,8.7645,13.27
,Con,4,D,12,35.685,22.8,9.008,13.24,13.47
,Con,5,E,4,24.84,10.775,6.1265,9.13,20.565
,Con,6,C,19,13.99,6.1515,3.046,5.4535,6.6915
,Con,7,E,15,26.66,12.825,7.782,12.04,13.525
,Con,8,C,23,14.325,7.273,4.404,6.589,10.63
,Con,9,D,27,37.67,22.715,11.835,13.465,15.975
