Type,Anal.,Sample Name,Sample ID,Treatment,Origin,OriginC,Cal. Curve,Manual Dilution,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Mean Area,Conc.,Mean Conc.,Result,NPOC_ppm,TN_ppm,SD Area,SD Conc,Vial,Excluded,Inj. Vol.
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 13:47,1,1,NPOC,17.66,17.71,"1,809","1,813",NPOC:1.813 TN:0.09774,1.813,0.09774,0.1474,0.00941,1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 13:50,1,2,NPOC,17.88,17.71,"1,823","1,813",NPOC:1.813 TN:0.09774,1.813,0.09774,0.1474,0.00941,1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 13:54,1,3,NPOC,17.6,17.71,"1,805","1,813",NPOC:1.813 TN:0.09774,1.813,0.09774,0.1474,0.00941,1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 13:47,1,1,TN,"1,578","1,504",0.1002,0.09774,NPOC:1.813 TN:0.09774,1.813,0.09774,0.1384,0.00468,1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 13:50,1,2,TN,"1,589","1,504",0.1006,0.09774,NPOC:1.813 TN:0.09774,1.813,0.09774,0.1384,0.00468,1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 13:54,1,3,TN,"1,344","1,504",0.09234,0.09774,NPOC:1.813 TN:0.09774,1.813,0.09774,0.1384,0.00468,1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 13:59,1,1,NPOC,18.13,17.67,"1,839","1,810",NPOC:1.810 TN:0.1356,1.81,0.1356,0.397,0.02535,2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:02,1,2,NPOC,17.48,17.67,"1,798","1,810",NPOC:1.810 TN:0.1356,1.81,0.1356,0.397,0.02535,2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:06,1,3,NPOC,17.41,17.67,"1,793","1,810",NPOC:1.810 TN:0.1356,1.81,0.1356,0.397,0.02535,2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 13:59,1,1,TN,"2,725","2,625",0.139,0.1356,NPOC:1.810 TN:0.1356,1.81,0.1356,0.09122,0.00308,2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:02,1,2,TN,"2,546","2,625",0.133,0.1356,NPOC:1.810 TN:0.1356,1.81,0.1356,0.09122,0.00308,2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:06,1,3,TN,"2,605","2,625",0.1349,0.1356,NPOC:1.810 TN:0.1356,1.81,0.1356,0.09122,0.00308,2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:11,1,1,NPOC,22.32,22.46,"2,107","2,116",NPOC:2.116 TN:0.1038,2.116,0.1038,0.1637,0.01045,3,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:14,1,2,NPOC,22.64,22.46,"2,127","2,116",NPOC:2.116 TN:0.1038,2.116,0.1038,0.1637,0.01045,3,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:18,1,3,NPOC,22.42,22.46,"2,113","2,116",NPOC:2.116 TN:0.1038,2.116,0.1038,0.1637,0.01045,3,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:11,1,1,TN,"1,685","1,684",0.1039,0.1038,NPOC:2.116 TN:0.1038,2.116,0.1038,0.01353,0.00046,3,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:14,1,2,TN,"1,697","1,684",0.1043,0.1038,NPOC:2.116 TN:0.1038,2.116,0.1038,0.01353,0.00046,3,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:18,1,3,TN,"1,670","1,684",0.1034,0.1038,NPOC:2.116 TN:0.1038,2.116,0.1038,0.01353,0.00046,3,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:23,1,1,NPOC,19.56,19.76,"1,930","1,943",NPOC:1.943 TN:0.1118,1.943,0.1118,0.2,0.01277,4,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:26,1,2,NPOC,19.76,19.76,"1,943","1,943",NPOC:1.943 TN:0.1118,1.943,0.1118,0.2,0.01277,4,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,1,2022-09-08 14:30,1,3,NPOC,19.96,19.76,"1,956","1,943",NPOC:1.943 TN:0.1118,1.943,0.1118,0.2,0.01277,4,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:23,1,1,TN,"1,851","1,921",0.1095,0.1118,NPOC:1.943 TN:0.1118,1.943,0.1118,0.1661,0.00561,4,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\TN_0.2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal,1,2022-09-08 14:26,1,2,TN,"2,111","1,921",0.1183,0.1118,NPOC:1.943 TN:0.1118,1.943,0.1118,0.1661,0.00561,4,0,150
