Type,Anal.,Sample Name,Sample ID,Treatment,Origin,Originc,Cal. Curve,Manual Dilution,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Mean Area,Conc.,Mean Conc.,Result,NPOC_ppm,TN_ppm,SD Area,SD Conc,Vial,Excluded,Inj. Vol.
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:27,1,1,NPOC,"13,71","13,24","1,557","1,527",NPOC:1.527 TN:0.07191,1.527,0.07191,"0,4801","0,03066",1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:30,1,2,NPOC,"13,25","13,24","1,528","1,527",NPOC:1.527 TN:0.07191,1.527,0.07191,"0,4801","0,03066",1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:34,1,3,NPOC,"12,75","13,24","1,496","1,527",NPOC:1.527 TN:0.07191,1.527,0.07191,"0,4801","0,03066",1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 15:27,1,1,TN,"0,7322","0,7393","0,07167","0,07191",NPOC:1.527 TN:0.07191,1.527,0.07191,"0,1285","0,00434",1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 15:30,1,2,TN,"0,8712","0,7393","0,07637","0,07191",NPOC:1.527 TN:0.07191,1.527,0.07191,"0,1285","0,00434",1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 15:34,1,3,TN,"0,6145","0,7393","0,06770","0,07191",NPOC:1.527 TN:0.07191,1.527,0.07191,"0,1285","0,00434",1,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:39,1,1,NPOC,"14,14","13,05","1,584","1,515",NPOC:1.515 TN:0.05621,1.515,0.05621,"0,2272","0,01451",2,1,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:42,1,2,NPOC,"12,81","13,05","1,499","1,515",NPOC:1.515 TN:0.05621,1.515,0.05621,"0,2272","0,01451",2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:46,1,3,NPOC,"13,26","13,05","1,528","1,515",NPOC:1.515 TN:0.05621,1.515,0.05621,"0,2272","0,01451",2,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 15:49,1,4,NPOC,"13,09","13,05","1,517","1,515",NPOC:1.515 TN:0.05621,1.515,0.05621,"0,2272","0,01451",2,0,150
