Position,Sample_ID,Treatment,Origin,1_Abs at 882nm,2_Abs at 882nm,3_Abs at 882nm,Average,Tot-P (µg/L),Report,
-3,Blank,Blank,,0.002,0.006,0.003,0.004,0,0,
-2,Calibrant,Calibrant,,0.235,0.326,0.244,0.268,100,100,
-1,TP Control,TP Control,,0.26,0.258,0.27,0.263,97.859,98,
1,MI2 Di1,Di,C,0.019,0.018,0.018,0.018,5.542,5.5,
2,MI2 Di2,Di,D,0.025,0.022,0.023,0.023,7.431,7.5,
3,MI2 Di3,Di,E,0.028,0.029,0.026,0.028,9.068,9,
4,MI2 Di4,Di,D,0.02,0.02,0.021,0.02,6.297,6,
5,MI2 Di5,Di,E,0.022,0.022,0.024,0.023,7.179,7,
6,MI2 Di6,Di,C,0.016,0.017,0.015,0.016,4.66,5,
7,MI2 Di7,Di,E,0.026,0.027,0.023,0.025,8.186,8,
8,MI2 Di8,Di,C,0.017,0.016,0.017,0.017,4.912,5,
9,MI2 Di9,Di,D,0.025,0.021,0.02,0.022,6.927,7,
10,MI2 Con1,Con,C,0.014,0.012,0.012,0.013,3.401,3,
11,MI2 Con2,Con,D,0.015,0.015,0.019,0.016,4.786,5,
12,MI2 Con3,Con,E,0.019,0.018,0.024,0.02,6.297,6,
13,MI2 Con4,Con,D,0.015,0.015,0.016,0.015,4.408,4,
14,MI2 Con5,Con,E,0.02,0.019,0.019,0.019,5.919,6,
15,MI2 Con6,Con,C,0.012,0.012,0.013,0.012,3.275,3,
16,MI2 Con7,Con,E,0.017,0.018,0.017,0.017,5.164,5,
17,MI2 Con8,Con,C,0.013,0.015,0.014,0.014,3.904,4,
18,MI2 Con9,Con,D,0.016,0.016,0.019,0.017,5.038,5,
19,MI2 Add1,Add,C,0.017,0.018,0.018,0.018,5.29,5,
20,MI2 Add2,Add,D,0.019,0.019,0.02,0.019,5.919,6,
21,MI2 Add3,Add,E,0.028,0.027,0.028,0.028,9.068,9,
22,MI2 Add4,Add,D,0.02,0.02,0.02,0.02,6.171,6,
23,MI2 Add5,Add,E,0.021,0.024,0.022,0.022,7.053,7,
24,MI2 Add6,Add,C,0.016,0.016,0.018,0.017,4.912,5,
25,MI2 Add7,Add,E,0.024,0.024,0.025,0.024,7.809,8,
26,MI2 Add8,Add,C,0.016,0.015,0.018,0.016,4.786,5,
27,MI2 Add9,Add,D,0.019,0.021,0.019,0.02,6.045,6,
28,rW 0.1 fridge,rW,,0.138,0.142,0.146,0.142,52.267,52,
29,WCC 20220726 fridge,Wcc,,0.002,0.002,0.003,0.002,-0.504,0,below detection limit
-3,Blank,Blank,,0.002,0.001,0.002,0.002,-0.756,0,
-2,Calibrant,Calibrant,,0.284,0.268,0.279,0.277,103.275,103,
-1,TP_Control,TP_Control,,0.284,0.294,0.304,0.294,109.698,110,
30,MI1 Di1,Di,C,0.015,0.015,0.014,0.015,4.156,4,
31,MI1 Di2,Di,C,0.014,0.014,0.015,0.014,4.03,4,
32,MI1 Di3,Di,C,0.014,0.015,0.015,0.015,4.156,4,
33,MI1 Di4,Di,D,0.02,0.021,0.021,0.021,6.423,6,
34,MI1 Di5,Di,D,0.022,0.024,0.021,0.022,7.053,7,
35,MI1 Di6,Di,D,0.021,0.02,0.021,0.021,6.423,6,
36,MI1 Di7,Di,E,0.021,0.02,0.021,0.021,6.423,6,
37,MI1 Di8,Di,E,0.02,0.02,0.02,0.02,6.171,1,
38,MI1 Di9,Di,E,0.021,0.023,0.021,0.022,6.801,7,
39,MI1 Con1,Con,D,0.018,0.02,0.019,0.019,5.793,6,
40,MI1 Con2,Con,D,0.019,0.022,0.018,0.02,6.045,6,
41,MI1 Con3,Con,D,0.019,0.02,0.019,0.019,5.919,6,
42,MI1 Con4,Con,E,0.018,0.017,0.015,0.017,4.912,5,
43,MI1 Con5,Con,E,0.019,0.017,0.017,0.018,5.29,5,
44,MI1 Con6,Con,E,0.019,0.023,0.018,0.02,6.171,6,
45,MI1 Con7,Con,C,0.011,0.011,0.011,0.011,2.771,3,
46,MI1 Con8,Con,C,0.013,0.016,0.011,0.013,3.652,4,
47,MI1 Con9,Con,C,0.011,0.013,0.012,0.012,3.149,3,
