Timepoint,Treatment,Replicate,sample_date,sampling_effort_min,Origin,Streptophyta,Chlorophyta,Cyanobacteria,Bacillariophyta,Cryptophyta,Heterokontophyta,Heliozoa,Ciliophora,Sum,R.Streptophyta,R.Chlorophyta,R.Cyanobacteria,R.Bacillariophyta,R.Cryptophyta,R.Heterokontophyta,R.Ciliophora,R.Heliozoa
Start,Add,1,2022.08.14,32,C,0,41,89,1,13,0,0,13,157,0,0.261146497,0.566878981,0.006369427,0.082802548,0,0,0.082802548
Start,Add,2,2022.08.14,31,D,50,695,147,0,0,5,0,8,905,0.055248619,0.767955801,0.162430939,0,0,0.005524862,0,0.008839779
Start,Add,3,2022.08.14,33,E,0,355,202,0,0,3,0,3,563,0,0.630550622,0.358792185,0,0,0.005328597,0,0.005328597
Start,Add,4,2022.08.14,32,D,32,787,210,0,0,0,3,5,1037,0.030858245,0.758919961,0.202507232,0,0,0,0.00289296,0.004821601
Start,Add,5,2022.08.14,33,E,0,157,144,2,0,2,0,10,315,0,0.498412698,0.457142857,0.006349206,0,0.006349206,0,0.031746032
Start,Add,6,2022.08.14,31,C,0,23,83,5,1,0,0,2,114,0,0.201754386,0.728070175,0.043859649,0.00877193,0,0,0.01754386
Start,Add,7,2022.08.14,32,E,0,430,213,0,6,16,0,6,671,0,0.640834575,0.317436662,0,0.008941878,0.023845007,0,0.008941878
Start,Add,8,2022.08.14,30,C,0,32,143,4,2,2,0,2,185,0,0.172972973,0.772972973,0.021621622,0.010810811,0.010810811,0,0.010810811
Start,Add,9,2022.08.14,31,D,55,590,180,0,0,4,0,0,829,0.066344994,0.711700844,0.217129071,0,0,0.00482509,0,0
Start,Di,1,2022.08.14,30,C,0,35,83,3,0,4,0,3,128,0,0.2734375,0.6484375,0.0234375,0,0.03125,0,0.0234375
Start,Di,2,2022.08.14,31,D,19,558,182,0,0,8,0,8,775,0.024516129,0.72,0.23483871,0,0,0.010322581,0,0.010322581
Start,Di,3,2022.08.14,31,E,0,774,265,0,0,20,3,0,1062,0,0.728813559,0.24952919,0,0,0.018832392,0.002824859,0
Start,Di,4,2022.08.14,31,D,7,212,73,0,2,4,0,7,305,0.02295082,0.695081967,0.239344262,0,0.006557377,0.013114754,0,0.02295082
Start,Di,5,2022.08.14,29,E,0,416,136,0,0,2,0,0,554,0,0.750902527,0.245487365,0,0,0.003610108,0,0
Start,Di,6,2022.08.14,30,C,1,16,10,2,4,0,0,4,37,0.027027027,0.432432432,0.27027027,0.054054054,0.108108108,0,0,0.108108108
Start,Di,7,2022.08.14,29,E,0,205,70,0,0,4,0,2,281,0,0.729537367,0.24911032,0,0,0.014234875,0,0.007117438
Start,Di,8,2022.08.14,38,C,39,733,113,3,3,0,0,0,891,0.043771044,0.822671156,0.126823793,0.003367003,0.003367003,0,0,0
Start,Di,9,2022.08.14,33,D,11,335,232,2,0,6,0,2,588,0.018707483,0.569727891,0.394557823,0.003401361,0,0.010204082,0,0.003401361
Start,Con,1,2022.08.14,31,C,2,28,202,3,12,0,0,7,254,0.007874016,0.11023622,0.795275591,0.011811024,0.047244094,0,0,0.027559055
Start,Con,2,2022.08.14,30,D,15,355,120,0,0,2,0,4,496,0.030241935,0.715725806,0.241935484,0,0,0.004032258,0,0.008064516
Start,Con,4,2022.08.14,30,D,31,667,231,0,0,0,0,6,935,0.03315508,0.713368984,0.247058824,0,0,0,0,0.006417112
Start,Con,5,2022.08.14,31,E,3,253,184,0,2,2,0,5,449,0.006681514,0.563474388,0.409799555,0,0.004454343,0.004454343,0,0.011135857
Start,Con,6,2022.08.14,30,C,0,22,74,3,0,0,0,4,103,0,0.213592233,0.718446602,0.029126214,0,0,0,0.038834951
Start,Con,7,2022.08.14,32,E,0,618,148,0,0,19,0,11,796,0,0.77638191,0.185929648,0,0,0.023869347,0,0.013819095
Start,Con,8,2022.08.14,29,C,0,43,61,1,6,0,0,2,113,0,0.380530973,0.539823009,0.008849558,0.053097345,0,0,0.017699115
Start,Con,9,2022.08.14,31,D,23,369,73,0,0,3,0,0,468,0.049145299,0.788461538,0.155982906,0,0,0.006410256,0,0
End,Add,1,2022.08.22,32,C,0,51,93,5,7,1,3,10,170,0,0.3,0.547058824,0.029411765,0.041176471,0.005882353,0.017647059,0.058823529
End,Add,2,2022.08.22,31,D,11,327,191,0,12,15,11,0,567,0.019400353,0.576719577,0.33686067,0,0.021164021,0.026455026,0.019400353,0
End,Add,3,2022.08.22,33,E,0,377,183,2,0,3,5,8,578,0,0.652249135,0.316608997,0.003460208,0,0.005190311,0.008650519,0.01384083
End,Add,4,2022.08.22,32,D,10,234,160,0,0,7,17,24,452,0.022123894,0.517699115,0.353982301,0,0,0.015486726,0.037610619,0.053097345
End,Add,5,2022.08.22,33,E,0,366,59,2,19,5,16,8,475,0,0.770526316,0.124210526,0.004210526,0.04,0.010526316,0.033684211,0.016842105
End,Add,6,2022.08.22,31,C,0,111,82,10,0,0,23,4,230,0,0.482608696,0.356521739,0.043478261,0,0,0.1,0.017391304
End,Add,7,2022.08.22,32,E,4,315,169,3,4,11,0,8,514,0.007782101,0.612840467,0.328793774,0.005836576,0.007782101,0.021400778,0,0.015564202
End,Add,8,2022.08.22,30,C,0,64,100,15,0,0,3,12,194,0,0.329896907,0.515463918,0.077319588,0,0,0.015463918,0.06185567
End,Add,9,2022.08.22,31,D,7,181,95,0,10,5,5,7,310,0.022580645,0.583870968,0.306451613,0,0.032258065,0.016129032,0.016129032,0.022580645
End,Di,1,2022.08.22,30,C,0,207,35,15,3,9,9,6,284,0,0.728873239,0.123239437,0.052816901,0.01056338,0.031690141,0.031690141,0.021126761
End,Di,2,2022.08.22,31,D,2,1130,135,4,2,13,6,4,1296,0.00154321,0.87191358,0.104166667,0.00308642,0.00154321,0.010030864,0.00462963,0.00308642
End,Di,3,2022.08.22,31,E,2,599,162,1,6,0,0,12,782,0.002557545,0.765984655,0.207161125,0.001278772,0.007672634,0,0,0.015345269
End,Di,4,2022.08.22,31,D,19,881,184,2,0,6,13,0,1105,0.01719457,0.797285068,0.166515837,0.001809955,0,0.005429864,0.011764706,0
End,Di,5,2022.08.22,29,E,3,451,248,2,2,8,6,18,738,0.004065041,0.611111111,0.33604336,0.002710027,0.002710027,0.010840108,0.008130081,0.024390244
End,Di,6,2022.08.22,30,C,2,149,11,5,0,16,2,2,187,0.010695187,0.796791444,0.058823529,0.026737968,0,0.085561497,0.010695187,0.010695187
