Treatment,Replicate,Origin,MI1_s0,MI1_s1,MI1_s2,MI1_s3,MI1_s4,Treatment,Replicate,Origin,MI2_s0,MI2_s1,MI2_s2,MI2_s3,MI2_s4
Con,1,D,1546502.924,847391.8129,717590.6433,387333.3333,303953.2164,Con,1,C,445555.5556,565450.2924,356023.3918,277239.7661,840257.3099
Con,2,D,1517614.035,889894.7368,529672.5146,370935.6725,323076.0234,Con,2,D,1057520.468,1097859.649,896982.4561,611181.2865,515649.1228
Con,3,D,1369660.819,924912.2807,497251.462,404257.3099,334105.2632,Con,3,E,605017.5439,586736.8421,397473.6842,298713.4503,340935.6725
Con,4,E,912163.7427,578175.4386,380093.5673,234105.2632,325239.7661,Con,4,D,1025146.199,1168807.018,762947.3684,469286.5497,340116.9591
Con,5,E,893286.5497,583532.1637,406760.2339,216093.5673,356163.7427,Con,5,E,590877.193,683040.9357,399204.6784,404865.4971,428771.9298
Con,6,E,913777.7778,644421.0526,364842.1053,224035.0877,332549.7076,Con,6,C,445122.807,515485.3801,401871.345,358643.2749,288280.7018
Con,7,C,692374.269,650456.1404,361625.731,126900.5848,118397.6608,Con,7,E,588514.6199,633742.6901,393637.4269,354853.8012,340397.6608
Con,8,C,718877.193,670409.3567,385099.4152,142514.6199,150643.2749,Con,8,C,467064.3275,459391.8129,365847.9532,287157.8947,296678.3626
Con,9,C,708187.1345,667742.6901,358795.3216,129543.8596,531649.1228,Con,9,D,1073707.602,1085871.345,785450.2924,503298.2456,351087.7193
Di,1,C,729403.5088,3252304.094,446573.0994,838210.5263,639976.6082,Di,1,C,470257.3099,3014935.673,395368.4211,769543.8596,1021356.725
Di,2,C,734105.2632,3128982.456,479520.4678,844304.0936,1033461.988,Di,2,D,1076409.357,4146584.795,1600654.971,530853.8012,917614.0351
Di,3,C,712888.8889,2816467.836,422070.1754,891543.8596,575719.2982,Di,3,E,588421.0526,1366877.193,641964.9123,739555.5556,805239.7661
Di,4,D,1583321.637,2145918.129,1155532.164,688070.1754,564023.3918,Di,4,D,1195988.304,4042713.45,1795742.69,654549.7076,691485.3801
Di,5,D,1170502.924,1799415.205,1022152.047,647076.0234,555485.3801,Di,5,E,631473.6842,1379274.854,533239.7661,548538.0117,530456.1404
Di,6,D,1623766.082,2999953.216,822877.193,306526.3158,360163.7427,Di,6,C,495309.9415,2504409.357,418385.9649,963368.4211,363391.8129
Di,7,E,946573.0994,2378666.667,292432.7485,344035.0877,340994.152,Di,7,E,585684.2105,1752982.456,606128.655,854783.6257,350456.1404
Di,8,E,879251.462,2529216.374,292432.7485,378982.4561,366362.5731,Di,8,C,473918.1287,2967403.509,422690.0585,1002619.883,434947.3684
Di,9,E,911789.4737,2557450.292,307929.8246,339520.4678,330561.4035,Di,9,D,1091356.725,4293005.848,1856608.187,717801.1696,296678.3626
Add,1,E,871836.2573,2252304.094,286538.0117,367532.1637,122421.0526,Add,1,C,509017.5439,1345181.287,462315.7895,871345.0292,340959.0643
Add,2,E,955508.7719,2766339.181,289508.7719,374456.1404,131146.1988,Add,2,D,1160350.877,2055707.602,1264935.673,808421.0526,282877.193
Add,3,E,927859.6491,2863345.029,246865.4971,368035.0877,146467.8363,Add,3,E,635192.9825,1053695.906,664608.1871,667976.6082,333754.386
Add,4,C,737450.2924,1945964.912,519099.4152,494549.7076,634374.269,Add,4,D,1116140.351,2102654.971,1328280.702,887391.8129,973941.5205
Add,5,C,702175.4386,2457520.468,498385.9649,413403.5088,954795.3216,Add,5,E,640187.1345,1212923.977,622970.7602,847766.0819,870339.1813
Add,6,C,709777.7778,2504187.135,451707.6023,455005.848,521473.6842,Add,6,C,485929.8246,1341029.24,451602.3392,858853.8012,759368.4211
Add,7,D,1602175.439,2285824.561,887368.4211,470865.4971,531029.2398,Add,7,E,609730.9942,931964.9123,536888.8889,696748.538,1016304.094
Add,8,D,1432748.538,2476748.538,673625.731,392081.8713,546865.4971,Add,8,C,470304.0936,1245883.041,583578.9474,816608.1871,607742.6901
Add,9,D,1567812.865,1817169.591,787801.1696,455415.2047,336000,Add,9,D,1132327.485,1933228.07,1069099.415,659228.0702,979532.1637
BE,,,19157.89474,1501192.982,4935.672515,1964.912281,611403.5088,BE,,,19824.5614,17871.34503,16081.87135,19567.25146,543508.7719
BD,,,9847.953216,4296116.959,3625.730994,1707.602339,686526.3158,BD,,,15017.54386,7368.421053,12093.56725,13438.59649,528982.4561
BC,,,6385.964912,2147695.906,3695.906433,1473.684211,562257.3099,BC,,,5520.467836,6362.573099,11859.64912,13239.76608,352116.9591
