Timepoint,Treatment,Origin,Replicate,sample_date,counting_date,Magnification,Type,sampling_effort_min,Fragilaria,Pediastrum,Staurastrum,Asterionella,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Tot_ind,Tot_sp,Fragillaria,Pediastrum,Staurastrum,Asterionella,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Sum
Start,Add,E,1,2022.07.28,2022.09.06,"4x,10x",All,14,17,3,2,1,0,184,17,17,0,0,61,0,0,17,0,0,9,114,0,0,0,0,0,0,0,0,0,0,442,11,0.038461538,0.00678733,0.004524887,0.002262443,0,0.416289593,0.038461538,0.038461538,0,0,0.13800905,0,0,0.038461538,0,0,0.020361991,0.257918552,0,0,0,0,0,0,0,0,0,0,1
Start,Add,E,2,2022.07.28,2022.08.30,"4x,10x",All,40,9,0,0,0,0,22,11,0,0,0,81,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,137,7,0.065693431,0,0,0,0,0.160583942,0.080291971,0,0,0,0.591240876,0.01459854,0,0,0.04379562,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,1
Start,Add,E,3,2022.07.28,2022.09.20,"4x,10x",All,42,11,1,3,0,13,62,27,0,0,3,27,7,0,0,9,0,1,32,0,2,0,0,0,0,0,0,0,0,198,13,0.055555556,0.005050505,0.015151515,0,0.065656566,0.313131313,0.136363636,0,0,0.015151515,0.136363636,0.035353535,0,0,0.045454545,0,0.005050505,0.161616162,0,0.01010101,0,0,0,0,0,0,0,0,1
Start,Add,C,4,2022.07.28,2022.09.13,"4x,10x",All,35,16,0,1,0,2,21,3,0,0,0,47,3,0,4,2,0,0,2,0,1,0,3,0,0,0,0,0,0,105,12,0.152380952,0,0.00952381,0,0.019047619,0.2,0.028571429,0,0,0,0.447619048,0.028571429,0,0.038095238,0.019047619,0,0,0.019047619,0,0.00952381,0,0.028571429,0,0,0,0,0,0,1
Start,Add,C,5,2022.07.28,2022.09.12,"4x,10x",All,23,16,0,1,0,0,24,0,0,0,0,85,0,0,4,0,0,0,1,0,0,0,2,0,0,2,1,0,0,136,9,0.117647059,0,0.007352941,0,0,0.176470588,0,0,0,0,0.625,0,0,0.029411765,0,0,0,0.007352941,0,0,0,0.014705882,0,0,0.014705882,0.007352941,0,0,1
Start,Add,C,6,2022.07.28,2022.09.01,"4x,10x",All,10,13,0,1,0,0,7,4,3,0,0,3,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,39,9,0.333333333,0,0.025641026,0,0,0.179487179,0.102564103,0.076923077,0,0,0.076923077,0.025641026,0,0,0,0,0,0.076923077,0,0,0,0.102564103,0,0,0,0,0,0,1
Start,Add,D,7,2022.07.28,2022.09.21,"4x,10x",All,31,12,0,2,0,49,161,147,21,0,0,106,36,0,0,31,0,0,15,0,0,0,0,0,0,0,0,0,0,580,10,0.020689655,0,0.003448276,0,0.084482759,0.277586207,0.253448276,0.036206897,0,0,0.182758621,0.062068966,0,0,0.053448276,0,0,0.025862069,0,0,0,0,0,0,0,0,0,0,1
Start,Add,D,8,2022.07.28,2022.09.20,"4x,10x",All,41,14,0,3,0,32,220,35,0,0,7,115,46,0,0,19,0,0,12,0,1,0,0,0,0,0,0,0,0,504,11,0.027777778,0,0.005952381,0,0.063492063,0.436507937,0.069444444,0,0,0.013888889,0.228174603,0.091269841,0,0,0.037698413,0,0,0.023809524,0,0.001984127,0,0,0,0,0,0,0,0,1
Start,Add,D,9,2022.07.28,2022.08.31,"4x,10x",All,31,20,0,1,0,15,195,23,32,0,0,85,45,0,2,26,0,2,6,0,0,0,0,0,0,0,0,0,0,452,12,0.044247788,0,0.002212389,0,0.033185841,0.431415929,0.050884956,0.07079646,0,0,0.188053097,0.099557522,0,0.004424779,0.057522124,0,0.004424779,0.013274336,0,0,0,0,0,0,0,0,0,0,1
Start,Con,D,1,2022.07.28,2022.09.07,"4x,10x",All,39,6,0,2,0,37,115,19,1,0,0,12,45,0,0,15,0,0,5,0,2,0,0,0,0,0,0,0,0,259,11,0.023166023,0,0.007722008,0,0.142857143,0.444015444,0.073359073,0.003861004,0,0,0.046332046,0.173745174,0,0,0.057915058,0,0,0.019305019,0,0.007722008,0,0,0,0,0,0,0,0,1
