Timepoint,Treatment,Replicate,sample_date,counting_date,Magnification,Type,sampling_effort_min,Origin,Fragilaria,Pediastrum,Staurastrum,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella ,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Anabaena,Koliella,Cryptomonas,Stauridium,Heliozoa,Paulschulzsia,Ankistrodesmus,Ciliates,Cosmarium,Comasiella,Pteromonas,Chlamydomonas,Tot_ind,Tot_sp,Fragillaria,Pediastrum,Staurastrum,Dictyosphaerium,Microcystis,Desmodesmus,Eudorina,Chlorophyceae,Oocystis,Merismopedia,Closterium,Mallomonas,Rhodomonas,Dolichospermum2 ,Rimostrombidium,Coelastrum,Ochromonas,Woroninchinia,Mesodinium,Cyclotella ,Acanthoceras,Chlorella,Stephanodiscus,Chroococcus,Dinobryon,Trachelomonas,Aphanizomenon,Anabaena,Koliella,Cryptomonas,Stauridium,Heliozoa,Paulschulzsia,Ankistrodesmus,Ciliates,Cosmarium,Comasiella,Pteromonas,Chlamydomonas,suma
Start,Add,1,2022.08.14,2022.10.12,"4x,10x",All,32,C,1,0,1,0,52,13,25,0,3,35,0,0,0,0,11,0,0,0,2,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,158,11,0.006329114,0,0.006329114,0,0.329113924,0.082278481,0.158227848,0,0.018987342,0.221518987,0,0,0,0,0.069620253,0,0,0,0.012658228,0,0,0,0,0.012658228,0,0,0,0,0,0.082278481,0,0,0,0,0,0,0,0,0,1
Start,Add,2,2022.08.14,2022.10.10,"4x,10x",All,31,D,0,0,3,58,73,581,3,0,0,28,50,5,0,3,8,0,0,43,0,0,0,3,0,0,0,0,0,71,50,0,0,0,0,0,0,0,0,0,0,979,14,0,0,0.003064351,0.059244127,0.074565884,0.593462717,0.003064351,0,0,0.028600613,0.051072523,0.005107252,0,0.003064351,0.008171604,0,0,0.04392237,0,0,0,0.003064351,0,0,0,0,0,0.072522983,0.051072523,0,0,0,0,0,0,0,0,0,0,1
Start,Add,3,2022.08.14,2022.10.17,"4x,10x",All,33,E,0,2,3,8,72,316,0,21,0,40,0,0,0,8,0,5,3,11,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,495,13,0,0.004040404,0.006060606,0.016161616,0.145454545,0.638383838,0,0.042424242,0,0.080808081,0,0,0,0.016161616,0,0.01010101,0.006060606,0.022222222,0.006060606,0,0,0,0,0,0,0,0,0,0,0,0.006060606,0,0,0,0,0,0,0,0,1
Start,Add,4,2022.08.14,2022.10.14,"4x,10x",All,32,D,0,0,3,40,85,683,0,0,0,53,32,0,0,0,0,3,0,48,5,0,0,0,0,24,0,0,0,112,61,0,0,3,0,0,0,0,0,0,0,1152,13,0,0,0.002604167,0.034722222,0.073784722,0.592881944,0,0,0,0.046006944,0.027777778,0,0,0,0,0.002604167,0,0.041666667,0.004340278,0,0,0,0,0.020833333,0,0,0,0.097222222,0.052951389,0,0,0.002604167,0,0,0,0,0,0,0,1
Start,Add,5,2022.08.14,2022.10.13,"4x,10x",All,33,E,2,0,2,5,0,142,3,3,0,7,0,2,0,2,3,0,0,23,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,205,14,0.009756098,0,0.009756098,0.024390244,0,0.692682927,0.014634146,0.014634146,0,0.034146341,0,0.009756098,0,0.009756098,0.014634146,0,0,0.112195122,0.034146341,0,0,0,0,0,0,0,0,0,0.009756098,0,0.009756098,0,0,0,0,0,0,0,0,1
Start,Add,6,2022.08.14,2022.10.14,"4x,10x",All,31,C,5,0,1,0,46,6,15,0,0,34,0,0,1,0,0,1,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,116,12,0.043103448,0,0.00862069,0,0.396551724,0.051724138,0.129310345,0,0,0.293103448,0,0,0.00862069,0,0,0.00862069,0,0,0.017241379,0,0,0,0,0.025862069,0,0,0,0.00862069,0,0,0,0,0.00862069,0,0,0,0,0,0,1
Start,Add,7,2022.08.14,2022.10.16,"4x,10x",All,32,E,0,2,3,3,132,377,0,16,10,26,0,13,3,3,0,19,3,48,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,673,18,0,0.002971768,0.004457652,0.004457652,0.196136701,0.560178306,0,0.023774146,0.014858841,0.038632987,0,0.019316493,0.004457652,0.004457652,0,0.028231798,0.004457652,0.071322437,0.008915305,0,0,0,0,0.004457652,0,0,0,0,0,0.004457652,0,0,0,0.004457652,0,0,0,0,0,1
Start,Add,8,2022.08.14,2022.10.15,"4x,10x",All,30,C,4,0,1,0,77,13,0,0,4,62,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,186,12,0.021505376,0,0.005376344,0,0.413978495,0.069892473,0,0,0.021505376,0.333333333,0,0.010752688,0,0,0.010752688,0,0,0.021505376,0,0,0,0,0,0,0,0,0,0,0,0.010752688,0.010752688,0,0.069892473,0,0,0,0,0,0,1
Start,Add,9,2022.08.14,2022.10.10,"4x,10x",All,31,D,0,1,2,47,86,471,8,0,16,59,55,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,55,47,0,0,0,0,0,0,0,0,0,0,886,13,0,0.001128668,0.002257336,0.053047404,0.097065463,0.531602709,0.009029345,0,0.018058691,0.066591422,0.062076749,0,0,0,0,0,0.004514673,0.039503386,0,0,0,0,0,0,0,0,0,0.062076749,0.053047404,0,0,0,0,0,0,0,0,0,0,1
Start,Con,1,2022.08.14,2022.10.16,"4x,10x",All,31,C,3,0,1,0,113,19,0,7,2,87,0,0,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,2,0,0,0,267,13,0.011235955,0,0.003745318,0,0.423220974,0.071161049,0,0.026217228,0.007490637,0.325842697,0,0,0.04494382,0.007490637,0,0,0,0,0.007490637,0,0,0,0,0,0,0,0,0.04494382,0,0,0,0,0,0,0.018726592,0.007490637,0,0,0,1
Start,Con,2,2022.08.14,2022.10.10,"4x,10x",All,30,D,0,0,2,13,39,311,9,0,0,35,13,2,0,4,4,0,0,26,0,0,0,0,0,4,0,0,0,50,22,0,0,0,0,0,0,0,0,0,0,534,14,0,0,0.003745318,0.024344569,0.073033708,0.582397004,0.016853933,0,0,0.065543071,0.024344569,0.003745318,0,0.007490637,0.007490637,0,0,0.048689139,0,0,0,0,0,0.007490637,0,0,0,0.093632959,0.041198502,0,0,0,0,0,0,0,0,0,0,1
Start,Con,4,2022.08.14,2022.10.14,"4x,10x",All,30,D,0,1,4,34,94,592,0,0,0,50,28,0,0,0,3,9,0,31,3,0,0,3,0,6,0,0,0,85,25,0,0,0,0,0,0,3,3,0,0,974,17,0,0.001026694,0.004106776,0.034907598,0.09650924,0.607802875,0,0,0,0.051334702,0.028747433,0,0,0,0.003080082,0.009240246,0,0.031827515,0.003080082,0,0,0.003080082,0,0.006160164,0,0,0,0.087268994,0.025667351,0,0,0,0,0,0,0.003080082,0.003080082,0,0,1
Start,Con,5,2022.08.14,2022.10.12,"4x,10x",All,31,E,0,2,2,2,33,223,21,0,0,26,0,0,0,5,0,0,2,35,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,363,13,0,0.005509642,0.005509642,0.005509642,0.090909091,0.614325069,0.05785124,0,0,0.071625344,0,0,0,0.013774105,0,0,0.005509642,0.096418733,0.013774105,0,0,0,0,0,0,0,0,0,0,0.005509642,0,0,0,0,0,0,0.013774105,0,0,1
