Mesocosm,Treatment,Sample,Ochromonas,Rhodomonas,Mesodinium,Microcystis,Cyclotella,Woronichinia,Chlamydomonas,Rimostrombidium,Phaester,Ciliates,Mallomonas,Eudorina,Dolichospermum,Desmodesmus,Merismopedia,Closterium,Cosmarium,Quadrigula,Heliozoa,Tetraedron,Oocystis,Elakatothrix,Ankyra,Koliella,Dolichospermum2,Stephanodiscus,Acanthoceras,Gloeocapsa,Snowella,Cryptomonas,Coelastrum,Chlorophyceae,Chroococcus,Trachelomonas,Ankistrodesmus,Paulschulzsia,Dictyosphaerium,Kirchneriella,Comasiella,Stauridium,Total,No_species
1,C,d01,81,548,23,37,149,8,68,5,128,37,3,3,5,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1114,17
2,D,d01,144,735,21,55,272,17,96,7,110,13,3,3,3,0,27,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,15
3,I,d01,134,674,4,57,508,8,179,0,175,8,16,0,8,0,8,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799,14
4,E,d01,101,525,4,69,467,14,109,7,91,0,4,0,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,12
5,I,d01,125,928,37,37,291,8,204,0,141,42,4,0,25,0,8,4,0,42,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,15
6,E,d01,149,715,7,45,354,7,115,11,127,22,4,22,7,0,22,0,0,15,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,16
8,D,d01,63,516,19,26,270,16,74,16,130,11,0,3,8,0,11,3,0,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,17
9,E,d01,99,747,12,9,471,12,81,9,3,35,3,0,3,0,20,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,15
10,C,d01,139,1004,33,51,451,23,84,14,93,70,0,9,0,0,28,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,14
11,D,d01,84,1013,33,4,465,11,7,7,18,15,0,4,8,0,11,4,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,16
12,I,d01,99,490,12,12,243,7,46,2,7,24,0,7,2,0,5,2,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,17
13,D,d01,63,638,22,63,849,0,207,0,76,22,4,0,9,9,18,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,14
14,I,d01,72,610,9,53,500,9,69,3,85,3,0,0,16,0,16,0,0,41,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,14
15,E,d01,44,731,24,47,374,7,67,0,88,7,3,0,0,0,17,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,13
16,C,d01,46,665,12,52,255,0,64,6,88,9,0,0,3,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,12
1,C,d13,2,30,4,65,519,65,24,0,37,0,0,0,0,4,80,2,0,7,4,2,0,0,0,2,39,11,11,2,4,0,0,0,0,0,0,0,0,0,0,0,914,20
2,D,d13,13,42,3,83,549,87,26,0,183,0,0,26,6,0,87,10,0,19,6,6,0,13,0,0,83,263,3,0,0,42,0,45,3,0,3,0,0,0,0,0,1601,23
3,I,d13,35,12,0,65,501,32,3,0,100,0,0,6,6,12,85,12,0,9,0,3,0,6,12,0,24,183,6,0,0,9,0,15,0,0,0,0,0,0,0,0,1136,21
4,E,d13,25,4,4,78,533,74,0,0,152,0,0,7,0,7,81,21,0,32,4,127,4,0,4,0,49,204,4,0,0,11,0,0,0,0,0,0,0,0,0,0,1425,20
5,I,d13,55,28,5,83,894,88,5,0,129,0,0,5,5,5,97,18,0,5,5,14,374,0,5,0,69,69,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1967,21
6,E,d13,10,40,0,82,409,86,23,0,40,0,0,6,0,4,86,2,0,2,0,0,8,4,0,0,23,75,15,0,0,17,0,0,0,0,2,2,0,0,0,0,936,20
7,C,d13,34,0,0,72,643,65,21,0,134,21,14,21,10,7,79,27,0,3,0,0,0,3,3,3,62,230,52,0,0,7,0,0,0,0,0,0,3,0,0,0,1514,22
8,D,d13,41,34,3,69,500,79,41,0,83,0,0,31,7,3,83,7,0,14,0,7,3,0,0,0,72,324,24,0,0,0,0,0,0,0,0,0,7,0,0,0,1432,20
9,E,d13,7,31,0,71,367,57,3,0,21,2,0,5,0,5,73,0,0,3,2,0,5,2,2,0,9,48,10,3,0,0,0,0,0,0,3,0,0,0,0,0,729,21
10,C,d13,0,2,7,30,482,30,15,0,11,0,2,2,7,0,67,0,0,0,13,2,2,7,0,0,18,7,8,0,3,0,0,0,0,0,0,0,0,0,0,0,715,19
11,D,d13,16,52,8,88,446,85,10,0,0,0,0,10,10,8,93,24,0,3,8,8,3,3,0,5,67,287,31,0,3,34,0,0,0,0,0,0,0,0,0,0,1302,23
12,I,d13,4,34,2,70,273,72,0,0,42,0,0,0,2,6,78,8,0,13,2,0,0,2,2,0,21,91,11,0,0,2,6,0,0,0,0,0,0,0,0,0,741,20
13,D,d13,0,9,3,32,390,28,3,0,15,0,0,0,0,0,54,0,0,0,0,0,1,3,6,0,7,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,568,15
14,I,d13,63,13,25,88,1416,88,50,0,164,0,13,50,6,25,88,38,6,0,13,201,0,44,6,0,82,579,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3071,22
15,E,d13,5,36,0,84,496,84,15,0,28,0,3,28,0,3,74,10,0,5,13,0,26,15,8,0,36,112,26,0,0,8,3,0,0,0,0,0,0,0,0,0,1118,22
16,C,d13,0,0,0,63,765,71,3,0,24,0,0,0,0,0,81,0,0,5,3,0,0,3,3,0,8,5,5,0,0,3,0,3,3,3,0,0,0,0,0,0,1051,17
1,C,d21,7,158,5,47,204,25,13,0,15,0,0,10,0,2,75,0,0,47,0,0,0,3,2,0,5,0,10,0,0,3,0,3,0,0,0,2,0,0,0,0,636,19
2,D,d21,3,61,6,94,113,94,50,0,11,3,0,97,36,113,94,86,0,94,17,6,100,25,0,0,80,0,0,0,0,6,3,9,0,0,0,36,25,0,0,0,1262,25
3,I,d21,28,28,2,60,60,9,19,0,16,2,2,42,5,128,77,5,0,30,0,0,14,95,16,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,648,21
4,E,d21,48,105,1,44,32,11,4,0,0,0,1,27,2,24,65,11,0,6,5,0,14,11,0,1,9,0,0,0,0,74,1,0,0,0,0,6,0,0,0,0,502,22
5,I,d21,42,50,2,86,128,86,21,0,6,0,0,59,2,88,84,0,0,15,0,0,23,124,40,0,23,0,0,2,4,19,2,6,0,0,2,21,4,0,0,0,939,25
6,E,d21,191,340,0,89,134,18,33,0,12,0,3,15,3,80,95,12,0,77,0,0,21,51,15,0,30,0,0,0,3,0,0,0,0,3,0,15,0,0,0,0,1240,21
7,C,d21,8,136,5,38,279,15,15,0,43,2,0,5,5,0,81,3,0,33,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,16
8,D,d21,21,7,0,69,76,42,7,0,35,0,0,0,48,14,62,48,0,7,0,0,14,14,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,15
9,E,d21,99,178,0,71,69,32,41,0,17,0,2,19,0,81,81,39,0,15,2,0,21,9,0,0,28,0,0,2,0,90,2,6,0,0,0,4,0,0,0,0,908,22
10,C,d21,9,129,13,53,372,47,44,0,27,0,0,11,0,2,93,0,0,29,0,0,20,9,7,0,16,0,29,0,2,2,0,4,0,0,0,0,0,0,0,0,918,20
11,D,d21,22,44,2,77,101,32,28,0,2,0,6,87,30,63,77,89,0,30,0,0,30,59,10,4,34,0,0,0,0,61,0,0,4,0,0,18,16,0,0,0,926,24
12,I,d21,9,10,0,80,52,80,2,0,16,2,2,40,3,42,54,28,2,26,0,0,37,37,3,21,17,0,0,7,0,40,5,3,0,0,0,16,0,2,0,0,636,27
