Timepoint,Treatment,Replicate,sample_date,counting_date,sampling_effort_min,Origin,Streptophyta,Chlorophyta,Cyanobacteria,Bacillariophyta,Cryptophyta,Heterokontophyta,Ciliophora
Start,Add,1,2022.07.28,2022.09.06,14,E,2,46,245,18,17,114,0
Start,Add,2,2022.07.28,2022.08.30,40,E,2,11,109,9,0,0,6
Start,Add,3,2022.07.28,2022.09.20,42,E,10,45,98,11,0,32,2
Start,Add,4,2022.07.28,2022.09.13,35,C,4,5,70,19,4,2,1
Start,Add,5,2022.07.28,2022.09.12,23,C,1,0,111,18,4,2,0
Start,Add,6,2022.07.28,2022.09.01,10,C,2,7,10,17,0,3,0
Start,Add,7,2022.07.28,2022.09.21,31,D,38,217,298,12,0,15,0
Start,Add,8,2022.07.28,2022.09.20,41,D,49,74,354,14,0,12,1
Start,Add,9,2022.07.28,2022.08.31,31,D,46,72,306,20,2,6,0
Start,Di,1,2022.07.28,2022.09.20,36,C,2,11,157,22,3,3,1
Start,Di,2,2022.07.28,2022.08.30,20,C,3,1,60,17,0,0,0
Start,Di,3,2022.07.28,2022.09.21,28,C,3,7,92,15,1,0,4
Start,Di,4,2022.07.28,2022.08.31,31,D,46,27,151,14,0,1,1
Start,Di,5,2022.07.28,2022.09.21,30,D,49,68,300,8,3,15,3
Start,Di,6,2022.07.28,2022.09.20,37,D,29,64,271,11,6,20,6
Start,Di,7,2022.07.28,2022.09.01,47,E,7,55,132,6,19,39,6
Start,Di,8,2022.07.28,2022.09.12,40,E,7,62,166,9,10,54,0
Start,Di,9,2022.07.28,2022.09.12,26,E,2,2,69,17,4,6,1
Start,Con,1,2022.07.28,2022.09.07,39,D,47,57,142,6,0,5,2
Start,Con,2,2022.07.28,2022.08.30,50,D,64,16,251,10,0,5,4
Start,Con,3,2022.07.28,2022.09.07,44,D,44,61,226,8,0,1,3
Start,Con,4,2022.07.28,2022.09.01,37,E,10,53,115,6,2,34,2
Start,Con,5,2022.07.28,2022.08.31,33,E,11,40,107,7,11,22,5
Start,Con,6,2022.07.28,2022.09.21,32,E,8,70,202,12,17,84,5
Start,Con,7,2022.07.28,2022.09.13,37,C,2,21,149,15,9,6,0
Start,Con,8,2022.07.28,2022.09.07,22,C,2,14,56,12,1,3,0
Start,Con,9,2022.07.28,2022.09.13,24,C,3,3,128,15,0,2,2
End,Add,1,2022.08.05,2022.10.07,31,E,7,325,120,7,2,6,2
End,Add,2,2022.08.05,2022.10.06,30,E,10,71,58,1,0,3,5
End,Add,3,2022.08.05,2022.10.05,29,E,13,574,136,10,0,34,9
End,Add,4,2022.08.05,2022.10.07,31,C,3,52,24,63,19,3,14
End,Add,5,2022.08.05,2022.10.07,31,C,6,59,29,131,10,31,29
End,Add,6,2022.08.05,2022.10.04,29,C,2,42,1,31,1,13,2
End,Add,7,2022.08.05,2022.10.04,29,D,12,278,170,2,0,4,8
End,Add,8,2022.08.05,2022.10.05,32,D,17,166,140,6,0,3,0
End,Add,9,2022.08.05,2022.10.06,30,D,12,244,171,4,0,3,5
End,Di,1,2022.08.05,2022.09.23,22,C,3,38,41,8,0,16,5
End,Di,2,2022.08.05,2022.10.06,19,C,0,14,17,12,0,14,0
End,Di,3,2022.08.05,2022.10.03,30,C,10,145,87,3,0,0,4
End,Di,4,2022.08.05,2022.08.05,31,D,22,501,210,6,4,6,6
End,Di,5,2022.08.05,2022.09.22,19,D,9,241,81,6,0,4,13
End,Di,6,2022.08.05,2022.08.05,30,D,6,447,61,4,0,1,13
End,Di,7,2022.08.05,2022.08.05,29,E,3,231,45,4,0,5,0
End,Di,8,2022.08.05,2022.08.05,31,E,11,420,140,9,0,14,6
End,Di,9,2022.08.05,2022.09.22,31,E,4,315,144,17,0,8,6
End,Con,1,2022.08.05,2022.10.06,30,D,11,69,91,2,0,4,0
End,Con,2,2022.08.05,2022.10.04,30,D,21,174,111,3,0,2,10
End,Con,3,2022.08.05,2022.09.23,30,D,17,135,118,4,0,4,4
End,Con,4,2022.08.05,2022.10.05,30,E,12,251,222,3,0,9,5
End,Con,5,2022.08.05,2022.08.05,29,E,3,22,17,5,0,6,0
End,Con,6,2022.08.05,2022.10.04,29,E,16,239,52,5,0,34,5
End,Con,7,2022.08.05,2022.08.05,29,C,3,10,7,19,0,2,1
End,Con,8,2022.08.05,2022.10.03,30,C,2,5,6,14,0,3,2
End,Con,9,2022.08.05,2022.09.22,25,C,4,16,46,41,1,0,0
