Timepoint,Treatment,Replicate,sample_date,sampling_effort_min,Origin,Streptophyta,Chlorophyta,Cyanobacteria,Bacillariophyta,Cryptophyta,Heterokontophyta,Heliozoa,Ciliophora
Start,Add,1,2022.08.14,32,C,0,41,89,1,13,0,0,13
Start,Add,2,2022.08.14,31,D,50,695,147,0,0,5,0,8
Start,Add,3,2022.08.14,33,E,0,355,202,0,0,3,0,3
Start,Add,4,2022.08.14,32,D,32,787,210,0,0,0,3,5
Start,Add,5,2022.08.14,33,E,0,157,144,2,0,2,0,10
Start,Add,6,2022.08.14,31,C,0,23,83,5,1,0,0,2
Start,Add,7,2022.08.14,32,E,0,430,213,0,6,16,0,6
Start,Add,8,2022.08.14,30,C,0,32,143,4,2,2,0,2
Start,Add,9,2022.08.14,31,D,55,590,180,0,0,4,0,0
Start,Di,1,2022.08.14,30,C,0,35,83,3,0,4,0,3
Start,Di,2,2022.08.14,31,D,19,558,182,0,0,8,0,8
Start,Di,3,2022.08.14,31,E,0,774,265,0,0,20,3,0
Start,Di,4,2022.08.14,31,D,7,212,73,0,2,4,0,7
Start,Di,5,2022.08.14,29,E,0,416,136,0,0,2,0,0
Start,Di,6,2022.08.14,30,C,1,16,10,2,4,0,0,4
Start,Di,7,2022.08.14,29,E,0,205,70,0,0,4,0,2
Start,Di,8,2022.08.14,38,C,39,733,113,3,3,0,0,0
Start,Di,9,2022.08.14,33,D,11,335,232,2,0,6,0,2
Start,Con,1,2022.08.14,31,C,2,28,202,3,12,0,0,7
Start,Con,2,2022.08.14,30,D,15,355,120,0,0,2,0,4
Start,Con,4,2022.08.14,30,D,31,667,231,0,0,0,0,6
Start,Con,5,2022.08.14,31,E,3,253,184,0,2,2,0,5
Start,Con,6,2022.08.14,30,C,0,22,74,3,0,0,0,4
Start,Con,7,2022.08.14,32,E,0,618,148,0,0,19,0,11
Start,Con,8,2022.08.14,29,C,0,43,61,1,6,0,0,2
Start,Con,9,2022.08.14,31,D,23,369,73,0,0,3,0,0
End,Add,1,2022.08.22,32,C,0,51,93,5,7,1,3,10
End,Add,2,2022.08.22,31,D,11,327,191,0,12,15,11,0
End,Add,3,2022.08.22,33,E,0,377,183,2,0,3,5,8
End,Add,4,2022.08.22,32,D,10,234,160,0,0,7,17,24
End,Add,5,2022.08.22,33,E,0,366,59,2,19,5,16,8
End,Add,6,2022.08.22,31,C,0,111,82,10,0,0,23,4
End,Add,7,2022.08.22,32,E,4,315,169,3,4,11,0,8
End,Add,8,2022.08.22,30,C,0,64,100,15,0,0,3,12
End,Add,9,2022.08.22,31,D,7,181,95,0,10,5,5,7
End,Di,1,2022.08.22,30,C,0,207,35,15,3,9,9,6
End,Di,2,2022.08.22,31,D,2,1130,135,4,2,13,6,4
End,Di,3,2022.08.22,31,E,2,599,162,1,6,0,0,12
End,Di,4,2022.08.22,31,D,19,881,184,2,0,6,13,0
End,Di,5,2022.08.22,29,E,3,451,248,2,2,8,6,18
End,Di,6,2022.08.22,30,C,2,149,11,5,0,16,2,2
End,Di,7,2022.08.22,29,E,2,648,92,0,0,13,7,0
End,Di,8,2022.08.22,38,C,0,56,20,13,0,6,2,3
End,Di,9,2022.08.22,33,D,0,288,116,0,0,3,5,0
End,Con,1,2022.08.22,31,C,0,40,28,2,0,2,0,3
End,Con,2,2022.08.22,30,D,1,254,118,0,6,4,13,3
End,Con,4,2022.08.22,30,D,2,233,121,0,2,4,11,4
End,Con,5,2022.08.22,31,E,1,124,101,0,1,1,6,0
End,Con,6,2022.08.22,30,C,0,74,28,2,0,10,0,0
End,Con,7,2022.08.22,32,E,0,128,107,0,2,0,5,5
End,Con,8,2022.08.22,29,C,1,47,38,2,0,3,1,2
End,Con,9,2022.08.22,31,D,7,523,265,0,14,11,8,11
